country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_range,update_hour,pollution_category
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",2026-05-31 10:00:00,14.438164,79.966814,PM2.5,63.0,246.0,111.0,183.0,10,Poor
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",2026-05-31 10:00:00,22.6025571,88.3105664,OZONE,15.0,93.0,26.0,78.0,10,Good
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",2026-05-31 10:00:00,28.6603346,77.3572563,SO2,4.0,28.0,12.0,24.0,10,Good
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",2026-05-31 10:00:00,14.438164,79.966814,PM10,63.0,155.0,119.0,92.0,10,Poor
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-05-31 10:00:00,27.9002,76.9938,SO2,25.0,27.0,26.0,2.0,10,Good
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-05-31 10:00:00,27.9002,76.9938,CO,101.0,102.0,101.0,1.0,10,Poor
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",2026-05-31 10:00:00,26.730136,83.433859,PM2.5,36.0,57.0,45.0,21.0,10,Good
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",2026-05-31 10:00:00,28.360699,76.93609,PM10,28.0,128.0,72.0,100.0,10,Moderate
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",2026-05-31 10:00:00,28.360699,76.93609,NO2,19.0,82.0,35.0,63.0,10,Good
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-05-31 10:00:00,16.9872867,81.7363176,NO2,9.0,38.0,18.0,29.0,10,Good
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",2026-05-31 10:00:00,28.360699,76.93609,SO2,8.0,20.0,14.0,12.0,10,Good
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2026-05-31 10:00:00,22.5687319,88.2797276,PM2.5,22.0,49.0,34.0,27.0,10,Good
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-05-31 10:00:00,16.9872867,81.7363176,CO,18.0,48.0,24.0,30.0,10,Good
