country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","31-05-2026 10:00:00","14.438164 ","79.966814 ",PM2.5,63,246,111
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","31-05-2026 10:00:00",22.6025571,88.3105664,OZONE,15,93,26
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","31-05-2026 10:00:00",28.6603346,77.3572563,SO2,4,28,12
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","31-05-2026 10:00:00","14.438164 ","79.966814 ",PM10,63,155,119
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","31-05-2026 10:00:00",27.9002,76.9938,SO2,25,27,26
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","31-05-2026 10:00:00",27.9002,76.9938,CO,101,102,101
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","31-05-2026 10:00:00",26.730136,83.433859,PM2.5,36,57,45
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","31-05-2026 10:00:00",28.360699,76.936090,PM10,28,128,72
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","31-05-2026 10:00:00",28.360699,76.936090,NO2,19,82,35
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","31-05-2026 10:00:00",16.9872867,81.7363176,NO2,9,38,18
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","31-05-2026 10:00:00",28.360699,76.936090,SO2,8,20,14
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB","31-05-2026 10:00:00",22.5687319,88.2797276,PM2.5,22,49,34
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","31-05-2026 10:00:00",16.9872867,81.7363176,CO,18,48,24
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - III, Greater Noida - UPPCB","31-05-2026 10:00:00",28.47272,77.482000,PM10,38,169,75
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","31-05-2026 10:00:00",13.67,79.35,PM2.5,5,168,43
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - III, Greater Noida - UPPCB","31-05-2026 10:00:00",28.47272,77.482000,NH3,8,11,9
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","31-05-2026 10:00:00",13.67,79.35,NO2,27,93,53
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB","31-05-2026 10:00:00",22.5687319,88.2797276,OZONE,10,52,24
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","31-05-2026 10:00:00",13.67,79.35,SO2,3,10,6
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","31-05-2026 10:00:00",22.5367507,88.3638022,PM10,24,67,46
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","31-05-2026 10:00:00",28.557054,77.453663,PM10,53,396,106
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","31-05-2026 10:00:00",13.615387,79.409230,PM2.5,37,49,45
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","31-05-2026 10:00:00",22.5367507,88.3638022,SO2,5,8,6
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","31-05-2026 10:00:00",13.615387,79.409230,PM10,55,68,63
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","31-05-2026 10:00:00",22.5367507,88.3638022,OZONE,11,26,15
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","31-05-2026 10:00:00",28.3153,76.9143,PM2.5,23,286,91
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","31-05-2026 10:00:00",22.58157048,88.41002457,NO2,12,13,13
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","31-05-2026 10:00:00",16.536107,80.594233,PM10,NA,NA,NA
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","31-05-2026 10:00:00",28.3153,76.9143,SO2,6,16,10
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB","31-05-2026 10:00:00",28.725645,77.749675,SO2,1,34,13
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","31-05-2026 10:00:00",16.536107,80.594233,NH3,NA,NA,NA
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","31-05-2026 10:00:00",25.4547,78.6039,PM10,23,79,37
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","31-05-2026 10:00:00",30.7057778,76.8531805555555,SO2,13,14,14
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","31-05-2026 10:00:00",25.4547,78.6039,NO2,5,6,6
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","31-05-2026 10:00:00",16.486692,80.699436,PM2.5,50,79,59
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","31-05-2026 10:00:00",26.428282,80.327067,PM2.5,31,197,65
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","31-05-2026 10:00:00",29.432304,76.972765,PM10,83,407,147
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","31-05-2026 10:00:00",26.428282,80.327067,NH3,3,3,3
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","31-05-2026 10:00:00",22.49929,88.36917,CO,22,30,27
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","31-05-2026 10:00:00",16.509717,80.612222,NO2,20,34,27
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","31-05-2026 10:00:00",16.509717,80.612222,NH3,5,7,6
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","31-05-2026 10:00:00",22.627847,88.380669,PM10,34,79,53
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","31-05-2026 10:00:00",22.627847,88.380669,NH3,5,11,7
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","31-05-2026 10:00:00",26.509954,80.249612,NO2,28,29,28
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","31-05-2026 10:00:00",28.52123,76.37138,OZONE,1,70,12
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","31-05-2026 10:00:00",29.536400,75.015800,PM2.5,7,427,49
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","31-05-2026 10:00:00",26.509954,80.249612,SO2,23,42,29
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","31-05-2026 10:00:00",29.536400,75.015800,NO2,13,22,18
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","31-05-2026 10:00:00",22.51106,88.35142,PM10,27,38,32
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","31-05-2026 10:00:00",26.4703136,80.3229863,CO,52,56,54
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","31-05-2026 10:00:00",29.027200,77.062100,PM10,161,167,164
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","31-05-2026 10:00:00",17.72,83.3,NH3,3,4,3
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","31-05-2026 10:00:00",22.5448082,88.3403691,PM10,76,106,87
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","31-05-2026 10:00:00",29.027200,77.062100,NO2,31,32,31
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","31-05-2026 10:00:00",22.5448082,88.3403691,NO2,22,28,25
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","31-05-2026 10:00:00",22.5448082,88.3403691,NH3,9,9,9
India,Uttar_Pradesh,Khora,"Prashant Garden, Khora - UPPCB","31-05-2026 10:00:00",28.61119,77.34206,NO2,23,53,33
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","31-05-2026 10:00:00",27.103358,93.679645,PM2.5,2,108,49
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","31-05-2026 10:00:00",30.1480566,77.2893471,NH3,1,6,3
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","31-05-2026 10:00:00",26.6879226,88.4152495,SO2,11,15,14
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","31-05-2026 10:00:00",28.2348927,77.8683002,PM10,NA,NA,NA
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","31-05-2026 10:00:00",22.7605581,88.3617589,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","31-05-2026 10:00:00",28.38910936,79.42963708,NO2,6,10,9
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","31-05-2026 10:00:00",22.7605581,88.3617589,SO2,12,22,13
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","31-05-2026 10:00:00",28.422681,77.148944,PM10,45,212,79
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","31-05-2026 10:00:00",28.422681,77.148944,NO2,11,16,13
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","31-05-2026 10:00:00",16.5150833,80.5181667,PM10,21,115,61
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","31-05-2026 10:00:00",23.567923,87.306843,PM10,23,104,52
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","31-05-2026 10:00:00",28.422681,77.148944,OZONE,2,109,23
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","31-05-2026 10:00:00",28.406963,77.849831,PM2.5,6,48,29
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","31-05-2026 10:00:00",23.567923,87.306843,NH3,1,2,1
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","31-05-2026 10:00:00",28.406963,77.849831,NO2,7,27,13
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","31-05-2026 10:00:00",28.406963,77.849831,NH3,8,15,11
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","31-05-2026 10:00:00",23.567923,87.306843,SO2,24,47,30
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","31-05-2026 10:00:00",28.406963,77.849831,OZONE,21,53,24
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","31-05-2026 10:00:00",14.675886,77.593027,PM10,55,63,61
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","31-05-2026 10:00:00",23.5087640,87.3544400,NH3,1,6,3
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","31-05-2026 10:00:00",14.675886,77.593027,SO2,12,16,13
